epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,257.716,2.14922,2.7703,2.05368,0.23375,0.12009,0.08503,0.03034,2.39788,3.0881,2.35108,0.000659574,0.000659574,0.000659574
2,510.582,2.21258,2.67728,2.08945,0.09965,0.15012,0.04013,0.01078,2.72449,5.63361,2.85454,0.00130237,0.00130237,0.00130237
3,751.633,2.25102,2.66162,2.1217,0.11694,0.11316,0.04996,0.01381,2.81117,3.14847,2.69026,0.00192116,0.00192116,0.00192116
4,990.684,2.2755,2.66795,2.19783,0.15001,0.20092,0.08187,0.02547,2.57249,3.4909,2.62948,0.001892,0.001892,0.001892
5,1252.11,2.20584,2.61564,2.1213,0.2045,0.14088,0.08207,0.03167,2.49728,3.03324,2.53227,0.001856,0.001856,0.001856
6,1500.11,2.20013,2.59143,2.12366,0.21899,0.17321,0.1152,0.03534,2.52267,2.93505,2.47261,0.00182,0.00182,0.00182
7,1742.47,2.16436,2.57762,2.08016,0.18221,0.16859,0.09071,0.02944,2.4987,3.06569,2.4432,0.001784,0.001784,0.001784
8,1997.31,2.1582,2.56886,2.07697,0.227,0.16166,0.07406,0.02507,2.42981,2.99651,2.45063,0.001748,0.001748,0.001748
9,2239.62,2.12066,2.57678,2.05595,0.19914,0.1709,0.10138,0.03403,2.49179,2.86484,2.42638,0.001712,0.001712,0.001712
10,2485.84,2.12391,2.53853,2.03874,0.29342,0.18476,0.1506,0.05072,2.44915,2.97469,2.46852,0.001676,0.001676,0.001676
11,2725.63,2.07314,2.49803,2.04766,0.25368,0.17783,0.13688,0.0532,2.4027,2.77259,2.41534,0.00164,0.00164,0.00164
12,2964.84,2.11999,2.48381,2.02655,0.22703,0.20323,0.11208,0.03946,2.34712,2.98857,2.32771,0.001604,0.001604,0.001604
13,3210.77,2.05918,2.45442,2.01406,0.25674,0.18938,0.13459,0.05038,2.3872,2.9341,2.44414,0.001568,0.001568,0.001568
14,3449.57,2.04811,2.48078,2.02565,0.26725,0.19205,0.14214,0.05291,2.35604,2.80006,2.35788,0.001532,0.001532,0.001532
15,3716.08,2.04141,2.43419,1.99003,0.38057,0.18707,0.16299,0.05756,2.36989,2.7139,2.32581,0.001496,0.001496,0.001496
16,3962.65,2.0307,2.40155,1.9896,0.30727,0.18938,0.14135,0.05471,2.28215,2.80971,2.31276,0.00146,0.00146,0.00146
17,4202,1.99167,2.40981,1.9574,0.32523,0.18938,0.1584,0.06418,2.30036,2.8157,2.32633,0.001424,0.001424,0.001424
18,4441.25,2.01413,2.42624,1.97936,0.28766,0.194,0.13965,0.05021,2.2722,2.7302,2.36428,0.001388,0.001388,0.001388
19,4677.27,1.99282,2.37292,1.94258,0.263,0.21478,0.15287,0.05563,2.35465,2.79565,2.36063,0.001352,0.001352,0.001352
20,4915.22,2.01661,2.37721,1.94265,0.32786,0.20554,0.17745,0.074,2.27626,2.6881,2.27352,0.001316,0.001316,0.001316
21,5153.15,1.94964,2.34033,1.92487,0.29704,0.17783,0.13604,0.05048,2.35933,2.83999,2.37724,0.00128,0.00128,0.00128
22,5394.47,1.9952,2.3595,1.93343,0.2958,0.21016,0.14902,0.05239,2.31931,2.71155,2.27196,0.001244,0.001244,0.001244
23,5634.01,1.96513,2.31531,1.90743,0.33577,0.15935,0.14335,0.05759,2.32983,2.80149,2.28304,0.001208,0.001208,0.001208
24,5872.06,1.97525,2.30922,1.94068,0.36501,0.2194,0.17601,0.07467,2.27058,2.63151,2.27148,0.001172,0.001172,0.001172
25,6111.29,1.97115,2.31036,1.91551,0.32235,0.19861,0.16207,0.0679,2.29433,2.73419,2.29696,0.001136,0.001136,0.001136
26,6352.77,1.95805,2.28535,1.90548,0.37459,0.21709,0.17951,0.07529,2.29682,2.6808,2.2624,0.0011,0.0011,0.0011
27,6592.11,1.8947,2.26314,1.89345,0.29804,0.22171,0.16173,0.0677,2.20167,2.65462,2.23972,0.001064,0.001064,0.001064
28,6829.94,1.88632,2.24353,1.86962,0.31991,0.21247,0.17597,0.07703,2.21683,2.66173,2.24118,0.001028,0.001028,0.001028
29,7068.37,1.91773,2.25431,1.89047,0.29937,0.21478,0.18295,0.07689,2.26851,2.62107,2.26008,0.000992,0.000992,0.000992
30,7307.16,1.89002,2.22572,1.86541,0.30901,0.21247,0.17777,0.07488,2.27971,2.60055,2.23917,0.000956,0.000956,0.000956
31,7545.06,1.93292,2.25876,1.88624,0.34162,0.22171,0.18497,0.0809,2.25149,2.65325,2.20946,0.00092,0.00092,0.00092
32,7784.01,1.88751,2.22822,1.86635,0.339,0.1963,0.1672,0.06691,2.19,2.668,2.24237,0.000884,0.000884,0.000884
33,8012.99,1.87401,2.22454,1.86608,0.32036,0.22402,0.1654,0.06564,2.26582,2.70404,2.26637,0.000848,0.000848,0.000848
34,8243.49,1.88191,2.19273,1.86055,0.27176,0.22864,0.16896,0.07683,2.25161,2.70234,2.23666,0.000812,0.000812,0.000812
35,8471.95,1.85217,2.18019,1.8561,0.36824,0.22402,0.17498,0.08199,2.23684,2.56571,2.23688,0.000776,0.000776,0.000776
36,8702.73,1.83356,2.1817,1.84441,0.29886,0.2194,0.15012,0.06393,2.25613,2.70448,2.26703,0.00074,0.00074,0.00074
37,8933.88,1.82849,2.14115,1.84347,0.35088,0.25173,0.18978,0.08474,2.25622,2.56143,2.25603,0.000704,0.000704,0.000704
38,9163.21,1.84096,2.18554,1.86052,0.30265,0.24711,0.17421,0.07961,2.21485,2.57986,2.20404,0.000668,0.000668,0.000668
39,9391.77,1.78178,2.0913,1.81677,0.41169,0.18707,0.16617,0.07371,2.22157,2.64068,2.21944,0.000632,0.000632,0.000632
40,9620.66,1.81143,2.10499,1.82155,0.39612,0.22171,0.17203,0.07243,2.27191,2.63975,2.25082,0.000596,0.000596,0.000596
41,9851.71,1.81211,2.1193,1.81508,0.36929,0.2194,0.19635,0.08834,2.22378,2.5356,2.20182,0.00056,0.00056,0.00056
42,10081.8,1.79383,2.08298,1.80374,0.41494,0.22768,0.198,0.08505,2.23432,2.6093,2.2183,0.000524,0.000524,0.000524
43,10311.1,1.75766,2.01942,1.7593,0.34767,0.24618,0.18571,0.08207,2.26166,2.59101,2.22723,0.000488,0.000488,0.000488
44,10540.1,1.77316,2.04661,1.77597,0.33236,0.20785,0.15531,0.07341,2.25917,2.64965,2.27089,0.000452,0.000452,0.000452
45,10769.9,1.75287,2.05213,1.80225,0.38712,0.21709,0.18164,0.0814,2.24814,2.57443,2.22482,0.000416,0.000416,0.000416
46,10995.5,1.892,2.32965,1.90347,0.32846,0.21463,0.14416,0.05874,2.18944,2.68599,2.2429,0.00038,0.00038,0.00038
47,11227.4,1.86199,2.20979,1.88157,0.41358,0.21478,0.18638,0.0742,2.20226,2.63995,2.20785,0.000344,0.000344,0.000344
48,11452.5,1.83144,2.14766,1.86328,0.34099,0.22944,0.19358,0.08549,2.17952,2.62027,2.16987,0.000308,0.000308,0.000308
49,11677.5,1.82615,2.1408,1.87175,0.32775,0.23557,0.17599,0.07347,2.18984,2.61061,2.19289,0.000272,0.000272,0.000272
50,11902.1,1.81448,2.10089,1.84193,0.36476,0.22864,0.18571,0.08348,2.21804,2.53802,2.1912,0.000236,0.000236,0.000236
51,12126.8,1.80162,2.05427,1.85108,0.38754,0.2448,0.199,0.09,2.21492,2.5432,2.18733,0.0002,0.0002,0.0002
52,12352.5,1.79381,2.04437,1.81921,0.37515,0.23326,0.19485,0.08721,2.20965,2.5215,2.18158,0.000164,0.000164,0.000164
53,12578.1,1.76889,2.03675,1.81239,0.44287,0.21709,0.19457,0.08806,2.18301,2.52198,2.18309,0.000128,0.000128,0.000128
54,12802.7,1.77371,2.01967,1.80668,0.32985,0.2448,0.18792,0.08753,2.19405,2.53337,2.17843,9.2e-05,9.2e-05,9.2e-05
55,13026.6,1.76828,2.00302,1.82352,0.3393,0.22633,0.18728,0.08658,2.19798,2.55546,2.18199,5.6e-05,5.6e-05,5.6e-05
