epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,637.379,0.6901,1.76578,1.01298,0.77124,0.84309,0.90947,0.73483,0.64419,1.88559,1.01483,0.000474365,0.000474365,0.000474365
2,1243.4,0.67646,1.13892,1.00084,0.82091,0.87416,0.93314,0.79485,0.55281,1.52257,0.97844,0.000933586,0.000933586,0.000933586
3,1843.31,0.66524,0.93163,0.99067,0.94222,0.94833,0.95304,0.83408,0.55435,0.81855,0.95262,0.00137566,0.00137566,0.00137566
4,2443.35,0.67888,0.86182,0.99901,0.94282,0.94475,0.98203,0.86313,0.54367,0.63011,0.95006,0.00135183,0.00135183,0.00135183
5,3038.11,0.65001,0.74956,0.98329,0.92039,0.95152,0.97222,0.86294,0.53028,0.62847,0.95334,0.00132611,0.00132611,0.00132611
6,3632.96,0.61237,0.68284,0.97123,0.89639,0.92459,0.9692,0.86098,0.51008,0.59816,0.92225,0.00130039,0.00130039,0.00130039
7,4227.8,0.61878,0.62344,0.97416,0.90182,0.96779,0.97252,0.87157,0.48032,0.54096,0.89666,0.00127467,0.00127467,0.00127467
8,4814.3,0.6008,0.5997,0.96366,0.95944,0.95874,0.98289,0.88374,0.47675,0.47862,0.89438,0.00124895,0.00124895,0.00124895
9,5394.76,0.59374,0.59402,0.95666,0.96091,0.93023,0.98245,0.88975,0.47204,0.44849,0.9001,0.00122322,0.00122322,0.00122322
10,5982.39,0.57428,0.56212,0.95015,0.95684,0.93823,0.97701,0.87706,0.49378,0.44505,0.91074,0.0011975,0.0011975,0.0011975
11,6561.63,0.60107,0.55334,0.96249,0.9678,0.96301,0.98809,0.88859,0.4701,0.39271,0.89113,0.00117178,0.00117178,0.00117178
12,7141.1,0.57428,0.5205,0.95148,0.98496,0.96827,0.97398,0.88072,0.47413,0.3636,0.88333,0.00114606,0.00114606,0.00114606
13,7720.19,0.56428,0.52849,0.9492,0.97744,0.9745,0.98352,0.89442,0.46979,0.35899,0.88783,0.00112034,0.00112034,0.00112034
14,8299.48,0.57156,0.50404,0.95271,0.95749,0.9441,0.97687,0.8837,0.47039,0.46961,0.88109,0.00109461,0.00109461,0.00109461
15,8879.56,0.55878,0.49697,0.94471,0.97455,0.95954,0.98073,0.88157,0.47636,0.39141,0.88959,0.00106889,0.00106889,0.00106889
16,9464.24,0.56676,0.49234,0.94729,0.98154,0.95698,0.98346,0.9019,0.45009,0.34431,0.86769,0.00104317,0.00104317,0.00104317
17,10045,0.55706,0.48211,0.94643,0.95575,0.93419,0.9828,0.88436,0.46078,0.42919,0.87603,0.00101745,0.00101745,0.00101745
18,10624.2,0.55439,0.49689,0.94847,0.97398,0.96236,0.98491,0.89155,0.46351,0.34776,0.88267,0.000991726,0.000991726,0.000991726
19,11203.2,0.55862,0.47664,0.94108,0.98078,0.96386,0.98534,0.90039,0.4651,0.33732,0.87655,0.000966004,0.000966004,0.000966004
20,11794.4,0.53805,0.43704,0.94352,0.93288,0.95696,0.97888,0.89083,0.45451,0.40786,0.86537,0.000940282,0.000940282,0.000940282
21,12373.8,0.54984,0.44848,0.94017,0.96515,0.96424,0.98426,0.89741,0.44956,0.33837,0.87314,0.00091456,0.00091456,0.00091456
22,12958.4,0.54283,0.45628,0.93911,0.9741,0.97576,0.98686,0.90709,0.43228,0.30742,0.86297,0.000888838,0.000888838,0.000888838
23,13540.3,0.53155,0.45206,0.93273,0.97339,0.97954,0.98719,0.90178,0.45304,0.3036,0.86695,0.000863116,0.000863116,0.000863116
24,14119.3,0.54505,0.44877,0.93462,0.97976,0.9655,0.98197,0.90103,0.4395,0.31799,0.86419,0.000837394,0.000837394,0.000837394
25,14698.5,0.53131,0.42768,0.93521,0.97234,0.97415,0.98534,0.90541,0.43855,0.31432,0.86687,0.000811672,0.000811672,0.000811672
26,15277.4,0.53653,0.43015,0.93348,0.98172,0.9544,0.98765,0.90478,0.44508,0.31358,0.86387,0.00078595,0.00078595,0.00078595
27,15856.4,0.5335,0.42372,0.93053,0.982,0.97576,0.982,0.90149,0.44843,0.29327,0.86996,0.000760228,0.000760228,0.000760228
28,16440.7,0.52385,0.40937,0.93153,0.98894,0.95939,0.98533,0.91205,0.42595,0.31296,0.85692,0.000734506,0.000734506,0.000734506
29,17023.7,0.52353,0.42587,0.93589,0.95778,0.98015,0.98673,0.90824,0.42705,0.30132,0.85799,0.000708784,0.000708784,0.000708784
30,17611.5,0.52689,0.4146,0.92726,0.97742,0.978,0.98552,0.90921,0.43724,0.28351,0.86059,0.000683062,0.000683062,0.000683062
31,18211.5,0.51519,0.39816,0.92762,0.97827,0.97243,0.98812,0.9077,0.43847,0.2874,0.85566,0.00065734,0.00065734,0.00065734
